year,well_total,well_production,well_injection,oil_year,oil_total,kin,fluid_year,fluid_total,water_cut,inject_year,inject_total,gas_year,gas_total
1981,2,1,0,0.03,0.03,0,0.03,0.03,0,0,0,0.002,0.002
1982,2,1,0,3.7,3.8,0,3.7,3.8,0.6,0,0,0.223,0.225
1983,2,1,0,4.2,8,0.001,4.3,8.1,2.1,0,0,0.252,0.477
1984,2,1,0,5.3,13.2,0.002,5.4,13.5,2.6,0,0,0.211,0.689
1985,2,1,0,5.9,19.1,0.002,6.1,19.6,3.6,0,0,0.206,0.894
1986,4,1,0,6.3,25.4,0.003,6.7,26.2,5,0,0,0.19,1.084
1987,8,4,0,7.2,32.6,0.004,7.5,33.8,4.3,0,0,0.216,1.3
1988,8,7,0,14.5,47.1,0.006,14.9,48.7,3,0,0,0.434,1.733
1989,14,9,0,21.9,69,0.008,22.1,70.7,0.6,0,0,0.658,2.392
1990,16,12,0,15.2,84.2,0.01,15.3,86.1,0.7,0,0,0.457,2.849
1991,16,13,0,22.5,106.8,0.012,23.1,109.2,2.5,0,0,0.676,3.525
1992,16,13,0,23.7,130.5,0.015,25.2,134.4,5.9,0,0,0.829,4.353
1993,16,15,0,24.5,155,0.018,26.8,161.2,8.5,0,0,0.982,5.335
1994,16,15,0,20,175,0.02,21.3,182.5,6.1,0,0,0.6,5.935
1995,16,14,0,37.6,212.7,0.025,38.6,221.1,2.5,0,0,1.129,7.065
1996,16,15,0,40.8,253.4,0.03,42.2,263.3,3.4,0,0,1.223,8.288
1997,16,15,0,41.1,294.6,0.034,42.8,306.1,3.9,0,0,1.234,9.521
1998,16,15,0,45,339.6,0.04,48.9,355,7.8,0,0,1.968,11.489
1999,16,15,0,44.8,384.4,0.045,51.2,406.2,12.5,0,0,3.059,14.548
2000,16,15,0,38.1,422.5,0.049,42.3,448.5,10.1,0,0,2.06,16.608
2001,21,18,0,36,458.5,0.054,39.6,488,8,0,0,2.019,18.627
2002,26,23,0,44.7,503.2,0.059,49.8,537,10.2,0,0,2.487,21.114
2003,28,27,0,46,549.2,0.064,50.7,588.6,9.4,0,0,2.572,23.687
2004,28,27,0,54.4,603.6,0.071,59.2,647.8,8.1,0,0,3.033,26.719
2005,28,27,0,55,659.5,0.077,65.2,713,14.4,0,0,3.127,29.847
2006,28,26,0,51.8,711.2,0.083,60,773,14,0,0,2.9,32.747
2007,28,25,1,49.8,761,0.089,59.8,833.7,16.7,25.1,25.1,2.786,35.533
2008,28,25,1,51.1,812.1,0.095,65.6,899.2,22,26.4,51.5,2.866,38.399
2009,31,28,2,54.8,867,0.101,67.5,966.8,18.8,29.4,80.9,3.066,41.466
2010,31,27,2,67.7,934.7,0.109,86.3,1053,21.5,51.1,131.9,3.795,45.26
2011,31,26,3,73,1008.6,0.118,96.6,1149.6,23.5,85.9,217.8,4.14,49.4
2012,31,26,3,91,1100.5,0.129,113.4,1263,19,67.1,284.9,5.145,54.545
2013,31,22,5,129.8,1230.2,0.144,152.8,1415.8,15.1,115.1,400,7.446,61.992
2014,31,22,5,171,1401.3,0.164,207.1,1622.9,17.4,193.9,593.9,4.773,66.765
2015,31,21,5,163.3,1564.5,0.183,209,1831.8,21,233.4,827.2,5.49,72.255
