year,well_production,oil_year,fluid_year,water_cut,production_frac,well_injection,inject_year
1987,7,10.481,10.792,2.8817642698295,0.7,1,0.202
1988,7,12.586,13.125,4.10666666666667,0.8,3,40.409
1989,9,15.282,15.855,3.61400189214759,1,4,59.342
1990,10,18.941,19.667,3.69146285656177,1.2,5,58.4
1991,12,23.176,24.315,4.68435122352459,1.5,5,67.3
1992,13,24.138,27.544,12.3656694742957,1.6,5,75
1993,17,29.474,35.822,17.7209536039306,1.9,3,72.1
1994,18,22.902,31.945,28.3080294255752,1.5,6,52.38
1995,18,27.638,40.017,30.9343529000175,1.8,6,48.5
1996,17,24.99,38.8,35.5927835051546,1.6,6,57.5
1997,17,24.237,38.04,36.2854889589905,1.6,6,48
1998,15,30.516,45.828,33.4118879287772,2,4,48.7
1999,17,31.9320405009259,56.796,43.7776595166457,2.1,2,43.4
2000,19,35.424,58.022,38.947295853297,2.3,2,45
2001,23,43.498,62.993,30.947883098122,2.8,2,54.3
2002,22,43.874,66.862,34.3812628997039,2.9,2,58.3
2003,24,51.644,73.584,29.8162644053055,3.4,2,60
2004,23,64.536,89.321,27.7482338979635,4.2,4,51.1
2005,23,67.104,94.789,29.2069754929369,4.4,4,57.7
2006,23,67.729,101.575,33.3211912380015,4.4,4,74.155
2007,24,58.821,85.481,31.1882172646553,3.8,5,63.186
2008,24,66.589,99.8304,33.2978731929352,4.4,5,63.554
2009,24,55.17,101.684,45.743676487943,3.6,5,90.881
2010,24,53.6,101.439,47.1603623852759,3.5,5,85.096
2011,23,53.0710029849368,117.4665,54.8203079303999,3.5,5,102.883
2012,23,61.785075528216,140.909968089675,56.1528,4,5,131.555
2013,24,62.433,154.4335,59.5728905969236,4.1,5,137.704
2014,27,58.7709600000001,194.352,69.7605581625092,3.84173245656527,5,137
2015,27,48.8621999999998,196.839,75.1765656196182,3.19401792380425,6,216.7
2016,,,,,,,
2017,26,41.1856800000001,204.365,79.8469992415531,2.69222016454574,7,221.1
2018,27,39.7031999999999,211.227,81.2035393202574,2.59531360504408,8,227.4
2019,27,38.1184800000001,216.516,82.3946128692567,2.49172383454233,8,232
2020,28,34.77864,220.592,84.2339522738812,2.27340560853862,9,234.7
2021,27,32.0181600000001,215.924,85.1715603638317,2.09295891153556,9,229
2022,27,29.7944399999999,219.197,86.4074599561126,1.94759907228308,9,231.3
2023,27,26.9572800000001,221.28,87.8175704989154,1.76213996702994,9,232.3
2024,27,24.4779599999999,223.826,89.0638442361478,1.60007210027717,9,233.8
2025,26,22.2031199999999,222.234,90.0091255163477,1.45137065552465,9,231.3
2026,26,20.45652,218.075,90.6195024647484,1.33719913427272,9,226.4
2027,26,18.5906400000001,219.41,91.5269860079303,1.21523053352065,9,227
2028,26,17.2444800000001,220.901,92.1935708756411,1.12723492201916,9,227.9
2029,25,15.9494400000001,214.509,92.5646756080164,1.04258091601772,9,221
2030,24,14.6458799999998,206.12,92.89448864739,0.95736997576625,9,212.1
2031,24,13.6831200000001,206.852,93.3850675845532,0.894436405515201,9,212.4
2032,22,12.5158799999999,197.058,93.6486313674147,0.818136413263891,9,202.2
2033,21,11.289,191.182,94.0951554016592,0.737937881262536,9,195.8
2034,19,9.98892463098674,179.605,94.4383927891836,0.652954723915449,9,183.7
2035,17,8.50498683098683,154.591,94.4983945824874,0.555952871133332,9,158.1
2036,15,7.27422683098686,137.679,94.7165313294062,0.475500711797461,9,140.6
2037,14,6.11622683098675,131.513,95.3493366960021,0.399804718662365,8,134
2038,14,5.09162683098684,131.528,96.1288647048637,0.332828799347853,7,133.6
2039,14,4.23415483098684,122.83,96.5528333216748,0.276777681363802,7,124.6
2040,12,3.43048399999999,108.436,96.8363975063632,0.224243431186555,6,109.8
2041,11,2.8595600000001,102.281,97.2042119259686,0.186923345534872,6,103.4
2042,10,2.34655079999999,94.431,97.5150630619183,0.153389026984401,5,95.4
2043,9,1.90051024,78.543,97.5802932915728,0.124232305768744,4,79.3
2044,8,1.59084800000002,70.033,97.7284308825839,0.103990344807402,4,70.7
2045,6,1.29705840319999,59.448,97.818163095142,0.084785944718856,4,60
2046,0,1.106178068,56.462,98.040845049768,0.072308503835504,0,59.9
