year,oil_year,production_frac,production_frac_rem,oil_total,production_frac_total,kin,water_year,water_total,water_cut,inject_year,inject_total,inject_comp_year,inject_comp_total
1970,89.5,1.0,1.0,90,0.99,0.004,91.7,92,2.4,0.0,0.0,-,-
1971,91.1,1.0,1.0,181,2.01,0.008,98.1,190,7.2,0.0,0.0,-,-
1972,178.5,2.0,2.1,359,3.99,0.017,188.2,378,5.1,42.4,42.4,19.2,9.6
1973,394.9,4.4,4.8,754,8.38,0.035,417.7,796,5.5,125.3,167.7,25.6,18.0
1974,420.9,4.7,5.4,1175,13.06,0.054,528.2,1324,20.3,516.7,684.5,86.6,44.8
1975,706.2,7.9,9.9,1881,20.91,0.087,853.9,2178,17.3,758.0,1442.4,78.0,57.7
1976,773.7,8.6,12.2,2655,29.51,0.122,1085.4,3263,28.7,830.8,2273.2,69.2,61.4
1977,592.5,6.6,10.3,3247,36.10,0.149,909.3,4172,34.8,865.7,3138.9,87.4,66.9
1978,419.0,4.7,7.9,3666,40.76,0.169,751.7,4924,44.3,863.1,4001.9,108.0,72.9
1979,351.7,3.9,7.1,4018,44.67,0.185,753.2,5677,53.3,844.8,4846.7,108.0,77.3
1980,324.6,3.6,7.0,4343,48.28,0.200,870.1,6548,62.7,822.3,5669.0,93.4,79.3
1981,294.5,3.3,6.8,4637,51.55,0.213,1069.6,7617,72.5,874.6,6543.6,83.0,79.7
1982,184.4,2.0,4.4,4822,53.60,0.222,859.2,8476,78.5,719.9,7263.5,86.5,80.4
1983,126.4,1.4,3.1,4948,55.01,0.228,868.0,9344,85.4,834.9,8098.4,101.3,82.1
1984,119.8,1.3,3.0,5068,56.34,0.233,792.6,10137,84.9,852.8,8951.1,113.1,84.3
1985,117.0,1.3,3.1,5185,57.64,0.239,759.5,10896,84.6,842.3,9793.4,116.5,86.4
1986,112.4,1.2,3.0,5297,58.89,0.244,789.9,11686,85.8,897.9,10691.3,119.9,88.5
1987,113.0,1.3,3.2,5410,60.15,0.249,770.6,12457,85.3,825.6,11516.9,112.8,89.8
1988,132.8,1.5,3.8,5543,61.62,0.255,882.0,13339,84.9,1098.4,12615.3,131.0,92.4
1989,116.9,1.3,3.5,5660,62.92,0.260,815.1,14154,85.7,1272.0,13887.2,164.5,96.2
1990,102.2,1.1,3.2,5762,64.06,0.265,679.8,14834,85.0,1231.8,15119.0,190.6,100.3
1991,96.0,1.1,3.1,5858,65.12,0.270,697.6,15532,86.2,1054.4,16173.4,159.6,102.8
1992,70.2,0.8,2.3,5928,65.91,0.273,550.8,16082,87.2,551.7,16725.0,106.1,102.9
1993,74.6,0.8,2.5,6003,66.73,0.276,622.2,16705,88.0,559.1,17284.2,95.4,102.6
1994,59.7,0.7,2.0,6062,67.40,0.279,567.3,17272,89.5,448.9,17733.0,84.3,102.1
1995,51.3,0.6,1.8,6114,67.97,0.281,454.3,17726,88.7,334.1,18067.2,78.2,101.5
1996,49.0,0.5,1.7,6163,68.51,0.284,334.4,18061,85.3,384.6,18451.7,121.1,101.8
1997,51.7,0.6,1.9,6214,69.09,0.286,396.1,18457,86.9,585.9,19037.7,156.5,102.9
1998,56.8,0.6,2.1,6271,69.72,0.289,462.8,18920,87.7,644.6,19682.3,147.7,104.0
1999,53.1,0.6,2.0,6324,70.31,0.291,455.3,19375,88.3,441.6,20123.9,103.0,103.9
2000,52.8,0.6,2.0,6377,70.90,0.294,424.1,19799,87.6,410.3,20534.2,102.6,103.9
2001,55.8,0.6,2.2,6433,71.52,0.296,412.1,20211,86.5,351.8,20886.0,90.2,103.7
2002,60.7,0.7,2.4,6494,72.19,0.299,453.9,20665,86.6,435.7,21321.7,101.5,103.6
2003,54.3,0.6,2.2,6548,72.79,0.301,440.2,21105,87.7,352.4,21674.2,84.9,103.2
2004,57.7,0.6,2.4,6606,73.44,0.304,398.7,21504,85.5,396.2,22070.4,104.7,103.3
2005,55.9,0.6,2.4,6661,74.06,0.307,429.7,21933,87.0,410.6,22481.0,101.1,103.2
2006,57.7,0.6,2.5,6719,74.70,0.309,388.5,22322,85.2,361.6,22842.6,98.0,103.1
2007,56.7,0.6,2.6,6776,75.33,0.312,215.6,22538,73.7,117.5,22960.1,55.5,102.7
2008,61.1,0.7,2.8,6837,76.01,0.315,208.9,22747,70.7,156.2,23116.4,75.5,102.4
2009,62.1,0.7,3.0,6899,76.70,0.318,202.4,22949,69.3,137.2,23253.5,68.2,102.1
2010,60.3,0.7,3.0,6959,77.37,0.320,205.3,23154,70.6,141.2,23394.8,69.5,101.8
2011,51.5,0.6,2.6,7011,77.94,0.323,192.5,23347,73.2,138.9,23533.6,73.4,101.6
2012,49.6,0.6,2.6,7061,78.49,0.325,201.8,23548,75.4,144.5,23678.1,73.3,101.4
2013,44.6,0.5,2.4,7105,78.99,0.327,213.5,23762,79.1,146.7,23824.9,71.1,101.1
2014,47.3,0.5,2.6,7153,79.52,0.329,231.3,23993,79.5,107.7,23932.6,48.2,100.6
